Commit,EstimatedTime,Message,RealTime 
96bdfb805affb25e63cce1b7dba74200c911d9b0,585.0100000000001,,make: *** No targets specified and no makefile found.  Stop.
38b636b33ee64a121a640b705b58d8f5228fca25,36.81,,make: *** No targets specified and no makefile found.  Stop.
0f6411d10cfdf831a391284780463a2d6edeee19,12,This commit contains no changed file,12
eb9e9c2bfe17398bd08e25f039bc7bf73d6e9f9e,12,This commit contains no changed file,12
5bb738d361c49b715966fbcfa9788a7bb73f6f52,12,This commit contains no changed file,12
ca0ac61b33247f61d83962b7586d2030e05775ed,585.0100000000001,,make: *** No targets specified and no makefile found.  Stop.
b64e6f2b5de945a97054d9fdaf95f28364b0c8a7,12,This commit contains no changed file,12
8b866f45c7cda5209cacb77609883cf2e5a9592e,72.13,,make: *** No targets specified and no makefile found.  Stop.
3fdd0bc5b4a5e9d9c5452421901f40c90b1784ab,12,This commit contains no changed file,12
4be38a3fb3a1a6f62e266130c7a2d5f679e2e567,586.3700000000001,The build files have been changed. Prediction may not be accurate.,In file included from /home/ruiyinw/vtk/build_dir/Rendering/OpenGL2/vtkRenderingOpenGL2ObjectFactory.cxx:33:0:
ffd92b49ef5c0c1e3a5a64b3d469f60fa85cbded,12,This commit contains no changed file,12
66288d8fc242b225b1dcad888626d12d620f24c4,12,This commit contains no changed file,12
12a446b4652af23d1ac87c50a21c2e121438d2d5,12,This commit contains no changed file,12
978a634976ee69cf6f88c8b68b9d19ca137211e0,12,The build files have been changed. Prediction may not be accurate.,148.61
a8a45720d77a57451e88a106e2ca6d8a83cefa77,33.800000000000004,,34.14
11a555195b0905233a6fff858597c6f3564d51e3,12,,11.08
3e9bb7e7feed7b785d59c72984c0cd28200c920f,12,This commit contains no changed file,12
ea840831e8cee2c8a902aec4cf041c305e36bc82,12,This commit contains no changed file,12
33e9fbd1f499a1bd0ba1f1d8c3f41270fc1b35f0,14.02,,13.18
3924b0ef5b3bf95a5c6f8f68c919ea654460db30,12,This commit contains no changed file,12
a30c943b75cbb02346e006e9c960427743a39cc3,12,This commit contains no changed file,12
82bc55f78237ded92454cb2457d0cfcd11a40e8a,12,This commit contains no changed file,12
fc3537673c92fe781cb9ab0242ee95cba2f87b0e,55.589999999999996,The build files have been changed. Prediction may not be accurate.,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
5970e58c49cbc6b6aff211e2d234ed96d560951e,12,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
a4fa4480994822c957d624762c55f29a41634f21,12,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
127573c9be953f61b8ddab4d742791d9756b36e0,12,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
c891745b80ed2f1fb5f2671eff3c04ccac9ffa22,12,This commit contains no changed file,12
bc40e5c949ef6bac7c016cffe78a9b6af44259f8,12,This commit contains no changed file,12
7695ff94d4baa68b8675034682662debac85c5bd,13.620000000000001,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
9623725ef2985f3eb1fe9f596b9019783476febb,12,This commit contains no changed file,12
7c21867ec18adf2d3bf1b48b86382b136ac8b7d7,52.71,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
56fffa2f126544ab554e20e076a263743b4c1bf8,12,,In file included from /home/ruiyinw/vtk/metaTypes.h:12:0,
7d76412cbc6858dc7782c82c5d518ad01bff15e9,12,The build files have been changed. Prediction may not be accurate.,140.09
89b39a128037939b97bb812f74d36ad8c38bc551,41.3,,40.87
d84d87f017e68f0174163df3f23fb18994fda4ff,66.32999999999998,,11.12
98790451fe26b8a7c94509238b84b9b2e942f8b5,710.9799999999998,,709.98
1de4a32ffe9db3b385e2b5bef0096710e91d340d,596.1600000000001,,568.57
590bac482dc9a39a215b5919170979c450e603b2,173.95999999999998,The build files have been changed. Prediction may not be accurate.,275.17
85ce2425913ba839fc5a463a15f4d006c524ab20,33.800000000000004,,33.00
0d817ed4f19fe03101ebc0d86210e8e3e90888d1,34.18000000000001,,33.72
64e09f70b5de080c636d52ecbe2ecf4c3b54e582,12,This commit contains no changed file,12
9bce1524d92c53d5a579fd90d610c57567361e4f,12,,11.19
c4c090317029e39a42c57122aa4394f92f12d431,12,This commit contains no changed file,12
54736d8beecacd8a3ae43724d61cb2a2ed66ffae,12,,11.33
e31dea42acfae2301176bb1c265954158625c94d,12,,11.39
5e14bb70dc777b454b7e1611d04de0c7220f180e,12,This commit contains no changed file,12
762f0fd21ef0e560aa525397014fc2f3e54e1c21,12,The build files have been changed. Prediction may not be accurate.,11.45
70bd13767b215d9ad3a1644a45bd8bfb69d607ad,12,This commit contains no changed file,12
85e9c201323d26478eb77c7fa1b3029b6390898e,12,This commit contains no changed file,12
8d74916b5ccc84654e5c0d9a7f4d4462aa852594,306.6900000000002,,302.32
